race,sex,LSAT,UGPA,ZFYA,first_pf
White,2,43,3.5,0.24,1
White,2,39,4,-0.51,1
Black,1,34,3.5,-0.95,0
White,2,42,4,1.39,1
Other,1,35,2.9,0.05,1
White,1,32,3.1,0.76,1
White,2,41,2.5,-0.5,0
White,2,35,2.8,0.27,1
White,1,39,3.6,0.2,1
White,2,35.5,2.6,-0.35,1
White,2,39,3,0.76,1
White,2,33,3.5,0.89,1
White,2,32,3.3,0.54,1
White,2,36,3.3,1.28,1
White,2,37,2.8,0.15,1
White,2,37,3.9,1.32,1
White,2,40,3.1,1.34,1
White,1,35,2.8,-0.84,1
White,1,36,3.6,-0.17,1
White,1,29.5,3,-1.19,1
White,2,33,3.3,0.05,1
White,2,36,2.6,0.88,1
White,2,34.5,2.7,0.53,1
White,2,38,3,-1.81,0
Mexican,2,36,2.7,-1.22,1
White,2,42,3.2,1.61,1
Other,1,33,3.2,-1.61,1
White,2,33,3,-1.06,1
White,2,34,3.1,0.97,1
White,2,40,3.7,1.41,1
White,2,41,3.3,1.52,1
White,2,38,3.6,0.15,1
White,2,34,3.1,-0.57,1
White,1,35,2.9,-0.52,1
White,1,39,3.5,0.12,1
White,2,31,3.3,-0.04,1
White,2,37,2.9,0.15,0
White,1,39,3.2,0.4,1
White,1,32,3.3,0.17,1
White,2,31,3,1.2,1
White,1,34,2.8,-0.11,1
White,2,33,3.8,1.81,1
White,1,28,3.5,-1.21,1
White,2,40,3.2,-0.26,1
White,2,31,3.1,0.01,1
White,2,33,3,-1.05,0
White,1,32,3.7,0.17,1
White,1,31.5,3.6,0.71,1
White,2,34,3.1,0.22,1
White,2,28,3.6,-1.38,1
White,2,42,3.9,0.45,1
White,2,33,3,0.08,1
White,1,32,3.1,0.04,1
White,1,31,3.4,0.23,1
White,2,27,3.2,-0.7,1
White,2,35,3.2,-0.46,0
White,2,29,3.4,0.39,1
White,1,33,3,-0.79,1
White,1,39,3.9,0.59,1
White,2,36,3.1,0.36,1
White,2,33,3.1,0.05,1
White,1,36,2.8,0.26,1
White,1,35,3,-0.09,1
White,1,39,3.1,0.57,1
White,2,34,3,0.28,1
White,1,31,3.6,-0.79,1
White,1,30.5,3.7,-0.39,1
White,2,30,2.5,-0.99,1
White,2,35,2.8,-1.34,1
White,2,29,3.5,0.94,1
White,2,38,3.3,-0.36,1
White,2,32,2.5,-0.67,1
White,2,29,3.5,0.58,1
White,2,34,3,-0.6,0
White,2,28,3.1,-0.97,0
White,2,24,3.8,-0.13,1
White,1,27,3.9,-0.23,0
White,2,30,3,-0.09,0
White,1,34,3.1,-0.41,1
White,1,37,3.4,2.71,1
White,2,33,2.9,0.65,1
White,2,32,3,-0.45,1
White,1,28,3.6,-1.59,1
White,2,36,2.5,-1.65,0
White,2,32,3.2,0.54,1
White,1,32,3.1,-0.15,0
Black,2,32,2.8,-1.11,1
Black,1,36,2.7,-0.68,1
Black,1,25.5,3.4,-0.91,1
White,1,30.5,3,-1.62,1
White,2,36,2.7,0.39,1
White,1,36,3.5,1.02,1
White,1,36,3,-1.33,1
White,2,32,3.7,-0.22,1
White,2,34,2.9,1.25,1
White,2,45,4,1.04,1
Black,1,30,3.4,-0.26,1
White,2,30.5,3.4,-1.27,1
White,2,30,2.9,-1.04,1
White,1,31,3.1,-0.31,1
White,1,39,4,0.88,1
White,1,32,3.8,-0.4,1
White,2,33,3.1,0.92,1
White,2,30.3,2.9,1.05,1
White,2,29,3.5,-0.61,1
White,1,34,3.1,-0.69,1
White,2,27,3.3,1.81,1
White,2,34.5,3,-0.03,1
White,2,30,3.4,0.03,1
White,1,32,3.2,-0.49,0
White,2,32,3.7,0.55,1
White,2,32,3.1,-0.76,1
White,2,37,3.2,0.98,1
White,2,29.3,3,-1.62,1
White,2,32,2.9,-0.63,1
White,2,35,3.4,0.33,1
White,2,38,3.7,1.68,1
Hispanic,2,36,2.8,-1.03,1
White,2,38,3.3,0.58,1
White,2,29.5,3.6,-0.26,1
White,1,32,3.2,-0.76,1
White,2,33,3.1,-0.45,1
White,1,42,3.1,1.13,1
White,2,34,3.1,-0.1,1
White,2,36,2.6,-0.13,1
White,1,34,2.8,-0.58,1
White,1,39,4,1.73,1
White,2,29,3.3,0.27,1
White,2,33.5,2.6,-1.45,0
White,1,38,3.8,-0.08,1
White,2,37,2.9,1.14,1
White,1,34,3.5,-0.26,1
White,2,33.7,2.3,-0.5,0
White,1,28,3.8,-1.14,1
White,1,29.5,3.3,0.76,1
White,2,35,2.6,0.37,1
White,2,38,3.4,0.88,1
White,1,28,3.5,0.81,1
White,2,39,3,0.7,1
White,1,36,3.8,0.88,1
White,1,28,2.4,-0.59,1
White,1,35,3.3,-0.47,1
White,1,37,3.1,0.12,1
White,1,33,3.7,-0.68,1
White,2,32,3.3,-0.8,1
White,1,33,3.1,1.33,0
White,1,30,3.4,-1.33,0
White,2,31,3.3,0.85,1
White,2,36,2.9,1.41,1
White,2,33,3.5,0.3,1
White,1,32,3.5,-0.07,1
White,1,32,3.5,-0.86,1
White,2,28,3.9,2.37,1
White,1,44,3.8,1.86,1
White,1,33,3.1,-0.9,1
White,1,36,4.1,2.21,1
White,2,38,3.4,1.74,1
Mexican,2,31,3,-1.53,0
White,2,32,3.3,0.26,1
White,1,31,3.3,-0.89,1
White,1,31,3.1,-0.53,1
White,1,34,3.3,0.02,1
White,2,38,3.8,1.98,1
White,2,38,3.8,-0.51,1
White,2,32,3.1,0.37,1
White,2,26.5,3.2,-0.58,1
White,1,33,3.5,0.98,1
White,1,37,2.6,0.84,1
White,1,37,3.3,-0.29,1
White,2,35,3,-0.34,1
White,1,36,3.7,-0.32,1
Asian,1,30.5,2.7,-0.32,0
White,2,39,3,-1.07,0
White,2,31,4,0.08,1
White,2,36,3.1,0.17,1
White,1,38,3.7,2.24,1
Asian,1,36,3.3,-0.07,1
White,2,34,3,-0.56,1
White,1,41,3.9,2.39,1
White,2,33.5,3.3,-0.07,1
Hispanic,1,41,2.8,0.42,1
White,2,38,3.9,1.73,1
White,1,39,3.7,2.55,1
White,1,43,2.9,0.17,1
White,1,30,3.3,-0.07,1
Asian,2,23,3.8,-1.07,0
White,1,32.5,3.5,-0.58,0
White,2,40,3.4,-0.8,0
White,2,39,3.2,0.17,1
White,1,45,3.1,0.66,1
White,2,35,3.2,1.15,1
White,2,35,3.6,-0.98,0
White,1,35,3.4,1.15,1
White,2,40,3.4,0.02,1
White,1,36,0,0.42,1
White,1,35,3.7,-0.74,1
Asian,2,36,3.5,0.17,1
White,1,40,3.6,1.39,1
White,1,39,3.4,-0.56,1
White,2,38,3,-1.23,1
White,1,39,3.4,0.17,1
White,1,40,3.1,0.51,1
White,1,38,3.5,-0.65,1
White,2,42,3.3,1.08,1
White,2,41,3.5,-0.16,1
White,2,36,2.9,0.42,1
Asian,1,30,3.3,-0.98,0
Mexican,1,35,2.9,-1.07,1
White,1,35.5,3.2,-0.65,1
Black,1,41,2.8,-0.83,1
Hispanic,2,29,3.2,-0.89,1
White,2,43,2.9,1.08,1
Hispanic,1,33,3,0.51,1
White,2,38,3.6,0.02,1
Black,1,33,3.1,-0.89,1
Hispanic,2,31,3.1,-1.31,0
Hispanic,2,33,3.3,0.51,1
White,2,39,2.8,0.02,1
White,1,35,3.4,-1.07,1
Asian,2,33,3.6,-0.07,1
White,1,40,2.9,0.08,1
White,1,33.5,3.7,0.17,0
White,1,36,3.3,2.06,1
White,1,37,3.3,1.17,1
White,1,40,3.2,1.97,1
White,2,42,3.5,-0.07,1
White,2,33,3.3,-0.32,1
White,2,30,3.3,1.39,1
Asian,1,35,3.1,-0.8,1
White,2,34,3.3,-1.56,1
White,2,41,3.5,-0.16,1
White,1,34.5,3.8,-0.65,1
White,2,35,3.8,0.17,1
Asian,2,40,3.5,0.91,1
White,1,37,3.6,-0.56,1
White,1,44,3.4,2.24,1
White,2,35.5,3.6,-1.23,0
White,1,29.5,3.6,0.17,1
White,2,42,3.6,1.48,1
White,1,38,3.5,-0.07,1
White,2,35,2.4,1.57,1
Other,1,33,3.5,0.06,0
White,2,41,3.4,-0.56,0
Other,1,35,3.4,-0.74,1
White,1,41,3.2,-0.65,1
White,2,39,3.4,2.39,1
Asian,1,41,3.1,0.08,0
Asian,1,42,3.1,1.08,1
White,1,37,3.3,0.84,1
White,1,31,3.5,0.66,0
White,1,37,3.5,1.15,1
Black,2,31,2.6,-0.16,1
White,2,33,3.1,0.17,1
Mexican,2,26,3.5,-0.07,1
White,2,37.5,3.4,0.35,1
White,1,42,3.2,0.66,1
White,2,36,3.2,-0.56,0
White,2,39,3.6,-0.4,1
White,1,38,3.8,0.26,1
Mexican,2,41,2.6,-0.07,1
White,2,37,3.4,-0.89,1
Asian,1,41,3,0.26,1
Asian,1,35,3.2,-0.07,1
Hispanic,1,32,3.8,0.42,1
White,2,37,3.4,0.26,1
White,2,40,3.7,0.75,1
White,2,38,3.5,-0.56,1
White,1,33.5,3.3,-0.23,1
Hispanic,1,40,2.7,0.75,1
White,1,36,2.9,0.17,1
White,1,38,3.3,0.66,1
White,2,39,3.5,-0.49,1
White,1,32,3.1,-1.07,0
Black,1,28,2.7,-0.07,1
White,1,39,3.6,-0.32,0
White,1,30.5,2.7,-0.32,0
White,2,31,3.3,-1.31,1
White,1,33,3.7,-0.32,0
Other,2,39,3.3,-0.07,1
Asian,2,34,3.3,0.33,0
White,1,39,0,-0.16,1
White,1,37,3.3,-0.4,1
White,1,39,4,2.88,1
White,1,35,3.5,0.66,1
White,2,40,3.3,2.06,1
White,2,40,3.3,2.24,1
Black,1,26,2.8,-1.07,0
Mexican,2,36,2.6,-0.4,1
Black,1,39,2.5,-0.89,0
Mexican,2,33,3.1,-0.74,1
Asian,1,36,3.3,0.82,1
Mexican,2,32,2.7,-1.31,1
Hispanic,1,31,3.5,-0.8,0
White,2,42,3.3,-0.16,1
Asian,1,34,3.6,1.08,1
White,2,36.5,3.6,0.66,1
White,1,40,3.2,-0.07,0
White,1,32,3.1,-0.32,1
White,2,41,3.3,0.42,1
White,2,37,3.5,2.48,1
Mexican,2,35,2.5,-0.98,0
White,2,35.5,3.7,-0.4,1
White,2,37,3.4,-0.56,0
White,2,38,3.4,-0.56,1
White,2,33,3.4,-1.23,1
Black,1,32,2.4,-0.65,1
White,2,39,3.2,1.15,1
White,1,35,4,-0.16,1
Asian,1,29,3.5,0.51,1
Asian,2,41,2.7,-0.56,1
Mexican,1,26,3.4,-0.4,0
White,2,39.5,3.1,0.33,1
White,1,34,3.9,0.89,1
White,2,37,2.9,-1.78,1
White,1,28,3,-0.76,1
White,1,27,3.8,-0.05,1
White,1,33,3.3,1.31,1
White,2,30,3.6,0.51,1
White,2,34,3.4,-0.59,1
Asian,2,29,3,-1.56,0
Asian,1,27.5,3.1,-0.18,1
White,2,35,2.7,-0.56,1
White,1,34,3.3,1.65,1
White,2,39,3.1,0.38,1
White,2,30,3.1,-0.42,1
White,2,30,2.9,-0.2,1
Mexican,1,30.5,2.8,0.11,1
Black,1,26,2.3,-1.31,0
White,2,33,3.7,1.2,1
White,1,32,3.8,0.05,1
White,2,37,2.4,0.89,1
White,1,24,3.2,-0.69,1
White,2,41,3,1.28,1
Black,1,28,2.9,-2.24,0
Asian,1,36,2.8,-0.81,1
White,2,40,3,-0.51,1
White,2,31,2.9,0.8,1
White,1,33,3.5,-1.07,1
White,2,32,3.9,-0.88,1
White,1,33,3,-0.76,1
White,2,25,3,-1.48,0
Asian,1,31,3,-0.29,0
White,1,31,3.1,-0.1,1
White,2,38,2.7,0.68,1
Other,1,35,2.9,0.14,1
White,2,34,3,1.54,1
White,2,39,3.1,1.06,1
Asian,1,27,3,-0.64,0
White,2,34,2.7,0.58,1
White,2,34,3.7,0.09,1
Puertorican,2,20,3.1,-1.44,0
Asian,1,28,2.5,-1.2,0
White,2,36,2.9,1.59,1
Black,2,30,3,0.04,1
White,1,43,2.2,0.63,1
White,1,31,3.6,-0.9,1
White,2,33,3.5,-0.05,1
White,1,30,3.4,0.68,1
White,2,34,3,0.65,1
White,2,32.5,3.3,-0.9,0
White,1,31,3.3,1.16,1
Asian,1,31,3,-0.93,0
White,1,26,3.7,0.8,1
Asian,1,37,2.1,0.36,1
White,1,31,3.5,-0.18,1
White,2,33,3,-0.37,1
White,2,29,3.5,0.85,1
Mexican,1,30,3.3,-0.17,0
White,2,32,3.5,1.06,1
White,2,37,2.4,-0.12,1
White,2,37,3.4,1.09,1
White,2,27.7,2.9,0.16,1
White,2,38,3.8,1.01,1
White,1,37,3.3,1.14,1
Black,2,25,3.1,-0.68,0
White,2,39,3.6,1.09,1
White,1,38,3.7,-0.64,1
White,1,22,2.6,1.31,1
White,1,31,3.4,0.97,1
White,2,30.5,3,1.65,1
White,2,29,3.4,0.09,1
White,2,31,3.5,-0.66,1
White,2,42,2.7,1.45,1
White,1,35,2.9,0.72,1
Black,2,18,2.7,-1.97,0
White,2,36,3.2,0.29,1
White,2,41,2.9,1.48,1
White,2,44,3.2,-0.11,1
White,2,37,3.5,0.92,1
White,2,40,3.2,0.08,1
White,1,35,3.4,-0.48,1
White,1,42,3,0.55,1
White,2,37,3.3,-1.83,1
White,1,34,3.3,2.45,1
White,1,38,3.5,-0.39,1
White,2,39,3.4,0.36,1
White,2,35,3.5,0.17,1
White,1,39,3,-0.3,1
White,2,39,3,-1.52,1
White,1,47,2.2,-0.86,0
White,2,44,2.9,0.92,1
White,1,37,3,-0.3,1
White,2,44,3,0.92,1
White,2,36,3.8,-1.23,0
White,1,35,3.6,-0.95,1
White,1,37,3.1,0.64,1
White,2,44,2.6,0.26,1
White,2,39,2.9,-0.11,1
White,1,35.5,3.9,1.01,1
White,2,35.5,3.7,0.45,1
White,2,38,3,-0.77,1
White,1,38,3.3,-0.48,1
White,2,40,2.9,1.51,1
White,1,38,3,0.45,1
White,2,42,3.6,0.08,1
White,1,34,2.8,0.36,1
White,1,40,2.9,0.36,1
White,2,42,2.7,-0.67,1
White,2,41,2.9,0.73,1
White,2,39,3.4,-0.77,1
Black,1,26,3.3,-0.48,1
White,2,37,3.4,-0.39,1
White,2,40,3.1,2.54,1
White,1,39,3.2,-0.11,1
White,1,41,3.3,2.45,1
White,2,41.5,3.2,-0.58,1
White,2,41,3.2,-1.52,1
White,1,41,2.4,-0.02,1
White,2,36,3,0.36,1
White,1,38,3.3,-0.02,1
White,1,36.5,3.2,-0.77,1
White,2,41,3.1,-0.58,0
White,2,38,2.8,-1.73,0
Asian,1,34.5,3.8,-0.67,1
White,2,40,3.2,0.17,1
White,2,42,2.9,-0.58,1
White,2,38,3.9,-0.48,1
White,1,35,3.6,0.92,0
White,2,41,2.7,-1.14,1
White,1,39,3.6,1.3,1
White,1,39,3.2,0.55,1
Other,2,38,3,-1.64,1
White,1,39,3.9,0.73,1
Mexican,1,42,3,-0.67,1
White,1,40,3.1,-1.23,1
White,2,34.5,3.1,-0.95,0
White,2,39,3.6,-0.3,1
White,2,40,3.3,1.7,1
White,1,38.5,3.3,-0.02,1
White,2,31,3.6,-1.64,0
White,1,42,2.8,1.42,1
White,2,40,3.3,0.83,1
Asian,1,31,3,-1.05,1
White,2,36.5,2.6,-0.58,0
White,2,36,2.9,1.98,1
White,2,39,3.5,0.17,1
White,2,43,3,-0.2,1
White,2,39,3,0.73,1
White,1,40,2.9,1.61,1
Other,2,32,3.4,-0.11,1
White,2,39,3,1.97,1
White,2,40,3.3,1.48,1
White,1,40,3.2,-0.58,1
White,2,39,3.5,2.36,1
White,1,39,3.4,1.61,1
White,1,39,2.9,-1.14,1
White,1,40,3.2,-0.2,1
White,2,28.5,3.2,-1.64,0
White,1,37,3.3,1.89,1
White,2,38,3.3,0.36,1
White,1,38,3.4,-0.67,1
White,2,37.5,3.3,1.2,1
White,1,40,3.4,0.26,1
White,2,39,3,-1.64,0
White,2,39,3.4,0.55,1
White,2,41,3.2,-0.02,1
White,1,36,2.9,0.08,1
Other,1,38.5,3.4,-1.92,1
White,2,36,3.4,-0.58,0
White,2,40,2.8,-0.48,1
White,2,40,2.6,-0.39,1
White,2,41,3.4,0.83,1
Other,1,39,2.8,-0.97,0
White,1,38,3,-0.95,1
White,2,38,2.7,-1.33,0
White,1,39,3,0.36,1
White,2,38,2.8,-1.14,1
White,1,39,3.2,-0.2,1
White,2,38,3.1,0.45,1
White,2,39,3,0.73,1
White,1,40,3.3,-0.95,1
White,1,38,3,-1.23,1
White,1,38,3.6,0.36,1
White,2,36,2.9,0.45,1
White,2,43,2.7,1.2,1
White,2,37.5,3.8,0.92,1
White,1,37,3.9,-1.42,0
White,2,39,3.2,-0.39,1
Asian,1,33.5,2.9,-0.58,1
White,1,38,3,-1.23,1
White,2,35,3.3,-1.23,0
White,1,39,3.7,1.42,1
White,1,40,3,-0.11,1
Hispanic,2,36,2.9,0.08,0
White,1,36.5,2.7,-0.58,1
White,2,43,2.9,1.01,1
White,2,39,2.9,-0.95,0
White,1,38,2.7,-0.67,1
White,1,37.5,3.1,-0.39,1
White,1,45,2.9,0.92,1
White,2,41,2.6,-0.3,1
White,1,37,3.1,-0.58,1
White,2,38,3.2,-0.77,1
White,1,38,3,0.73,1
White,2,37,3.3,0.45,1
White,2,34.5,3.1,-1.83,0
White,2,37,3.1,-0.86,1
White,1,47,3,1.89,1
White,1,41,2.8,-0.2,1
White,2,35,3.7,-0.48,1
White,2,42,3.8,-0.86,1
White,2,38,2.9,-1.73,0
White,2,33,3.4,-0.02,1
White,2,37,3.3,0.73,1
White,1,44,3,1.61,1
White,1,38,3.8,-0.11,1
White,2,41,3.1,1.11,1
White,2,38,3.5,-1.05,1
White,2,35,3,-0.95,0
White,1,36,3.5,0.26,1
White,2,47,2.8,0.92,1
White,2,36,3.8,-0.77,1
White,2,37,3.4,-0.39,1
White,1,36,4.1,1.01,1
White,1,43,2.8,1.42,1
White,2,43,2.8,1.2,1
White,1,37,3.2,-0.02,1
White,1,39,2.9,0.17,1
White,1,38,3.2,-0.2,1
White,1,37,3.2,0.17,1
White,2,37,3.2,-0.11,1
White,1,38,2.9,0.17,1
White,1,38,3.1,-0.48,1
White,1,38,3.4,-1.83,1
White,2,35.5,3.2,-0.67,1
White,2,36,3.3,-0.48,1
White,2,40,3.1,-0.11,1
White,1,43,3.8,1.11,1
White,1,34,3.5,-0.2,1
White,2,38,3,0.92,1
Black,2,31,2.2,0.18,0
Black,2,27,2.3,-0.25,0
Black,2,26.5,1.8,-0.58,0
Puertorican,1,36,2.7,0.11,1
Black,2,21,2.9,-0.05,0
White,2,23,2.4,-0.98,0
Black,2,31,1.8,0.95,0
Black,2,25,2.4,-0.25,0
White,2,27,3.3,0.24,1
White,2,26.3,2.3,-0.84,0
Black,2,27,2.9,-0.58,0
White,1,27,3.2,-0.37,0
Black,2,17.5,2.5,-0.6,0
White,2,26.7,2.2,1.24,1
White,2,30,2.8,-0.52,0
Black,1,24,3,-1.22,0
White,2,29,3.4,0.78,1
White,2,29,2.5,-0.73,1
White,2,36,2.2,0.26,1
White,1,30,2.2,-0.43,1
Black,1,31,2.6,1.95,1
White,2,31,2.7,0.31,1
Black,1,24,2.1,-0.2,0
Black,1,22,2.5,-0.6,0
Other,2,21.5,2.2,-0.61,0
White,2,33,2.3,0.67,1
White,2,21.5,2.6,-0.07,1
White,2,30,2.7,0.92,1
Asian,2,28,2.5,0.29,1
Black,2,17,3,-0.68,0
White,1,31,3,0.93,1
White,2,27,2.9,0.32,1
Black,1,28,2.3,-0.12,1
White,1,23,3.8,-0.48,0
White,2,33.5,2.3,1.66,1
White,1,37,3.3,1.72,1
White,1,31,2.6,0.62,1
White,2,30,2.4,0.24,0
Black,1,15,2.1,-1.22,0
Black,2,18,2.9,-0.7,0
White,1,28,3.5,1.36,1
White,1,25,2.6,-0.65,1
Black,1,25,2.8,0.16,1
White,1,34,2.3,1.62,1
White,2,33,2.8,0.41,0
Black,1,20,2.4,-1.14,0
Other,2,31,2.4,-1.17,0
White,2,20,3.2,0.27,1
Black,1,22.3,2.4,-0.1,0
White,2,33,3.1,1.36,1
Mexican,2,32,3.2,0.21,1
White,2,33,2.7,0.32,1
Black,1,21,2.9,-0.84,0
White,1,33,2.7,1.16,1
White,1,31,2.8,2.05,0
Hispanic,2,20,3.2,-0.27,0
Black,2,22,2.8,0.64,0
White,2,28,2.8,-0.14,1
White,2,31,2.5,0.08,0
White,2,21,3.4,1.16,1
White,1,31.5,3.2,1.13,1
White,2,31,3.2,0.73,1
White,1,34,3.1,0.49,1
Black,1,14,2.9,0.04,1
White,1,24,3.2,0.41,1
White,1,35.5,2.9,-1.37,1
Hispanic,2,30,3.3,-1.81,0
White,1,41,2.7,0.6,1
White,2,32,3.2,-1.55,0
White,2,43,2.2,-0.08,1
White,2,38,3.1,1.33,1
Hispanic,2,30,2.9,0.86,1
Black,2,26,2.3,-2.05,0
Puertorican,2,31,3,-1.46,0
White,2,35,3.1,1.22,1
Black,1,27.7,2.3,-1.5,0
White,2,29.5,3.1,-0.81,0
White,2,35,3.5,-0.22,0
White,1,45,3.2,0.56,1
White,2,37,3.3,0.84,1
White,2,33,3.1,-0.06,1
White,1,35,3.1,0.2,1
White,2,35.5,3.3,-1.29,0
White,1,37,3.2,0.15,1
White,1,37,3.6,1.13,1
White,2,29.5,3.5,0.49,1
White,1,38,3.4,1.23,1
White,2,40.5,3.2,2.09,1
Asian,1,37,2.9,-0.01,1
White,2,36,3.5,0.84,1
White,1,36,3.9,1.13,1
White,1,35,3.4,1.19,1
White,2,40,3,0.8,1
White,2,31,2.4,-1.53,1
White,2,44,2.7,-1.05,0
White,2,38,3.3,0.44,1
White,2,34,3.3,-1.34,1
White,1,35,3.2,-0.1,1
White,2,35,3.3,-1.06,0
White,2,35,3.5,0.11,1
White,2,43,2.7,0.37,1
White,1,34.5,2.6,-0.58,1
White,2,36,3.1,-0.76,0
Hispanic,1,29.5,2.6,-2.02,0
White,2,38,3.3,0.49,1
White,2,38,3.2,1.04,1
Puertorican,1,31,3,-1.8,1
White,2,36,3.5,-0.64,1
White,1,37,3.4,1.21,1
White,2,37,3.1,-0.16,1
White,1,35,3.4,0.09,1
White,1,36.5,3.1,0.09,1
White,2,24.7,3,-0.82,0
White,1,37,3.2,0.23,1
White,1,37,3.1,0.62,1
White,2,37,3.3,-0.09,1
Asian,1,35,3.7,0.49,1
White,1,36,3.5,-0.16,1
White,2,37,3.3,-0.4,1
White,1,40,3.4,1.43,1
White,2,35,3,1.22,1
White,1,39,3.2,0.94,1
White,2,36,3,0.63,1
White,1,41,3.6,1.41,1
White,2,34,3.1,0.27,1
White,2,35,3.2,1.1,1
White,1,37,2.9,0.52,1
White,2,37,3.4,-0.5,1
White,1,37,3.4,-0.16,0
White,1,36,3.6,0.3,1
White,2,34.5,3.2,1.82,1
White,2,34,3.5,-0.41,1
White,2,36,2.9,-0.42,1
White,1,38,3,0.39,1
White,2,43,2.4,0.71,1
Other,1,31,2.6,-1.49,0
White,1,36,3.5,0.2,1
White,2,35,3.4,-0.08,1
White,2,35,3.1,0.83,1
White,2,38,3.6,0.11,1
Asian,1,37,3.4,-0.68,1
White,1,37,3.1,0.57,0
Hispanic,2,26.5,3.1,-0.07,1
White,1,39,3.1,-0.07,1
White,1,36,3.3,1.39,1
White,2,39,2.8,1.32,1
White,1,34.7,2.7,-0.53,1
White,2,36,2.9,-1.35,1
White,2,36.5,2.3,-0.24,0
White,1,34,3.1,0.48,1
White,1,36,3.3,0.06,1
Black,1,25,2.3,-1.26,0
White,2,38,2.9,-0.1,1
White,2,41,3.4,0.3,1
White,1,35,3.2,0.19,0
White,1,35,3.3,0.4,1
White,1,37.5,2.7,-0.28,0
Black,2,27,2.5,-2,1
White,2,41.5,2.5,0.37,1
White,2,40.5,2.1,1.26,1
White,2,36,3.2,0.62,1
White,1,37,3.2,-0.12,1
White,1,44,3.1,-0.69,1
White,2,40,3.1,1.06,1
White,2,37,3.3,-1.78,1
White,1,37,3.6,2.05,1
White,2,35,3.1,1.02,1
White,1,39,2.9,-0.54,1
White,1,39,3,0,1
White,2,37.5,3.2,0.92,1
White,1,46,2.9,1.74,1
White,1,34,3.9,1.04,1
White,1,35,3.2,-1.13,1
White,1,38,2.8,-0.61,1
White,1,37,3.4,1.05,1
White,1,33.5,3.2,0.29,1
White,2,36,3.2,0.2,1
White,2,36,2.7,0.05,0
White,2,36,3.1,-0.41,1
White,1,43,3.4,0.77,1
White,1,37,3.1,-0.81,1
White,2,37,3.3,2.04,1
White,2,41,3.2,0.74,1
White,1,29.5,3.4,-1.87,1
White,2,31,3.5,1.06,1
White,2,37,3.2,0.81,1
White,2,29,2.8,-0.89,1
White,2,37,3.3,0.24,1
White,1,37.5,3,-0.46,1
White,1,34,3.4,-0.88,1
White,2,40,3.2,-0.24,1
White,1,34,3.5,0.47,1
Black,2,27,2.4,-2.01,1
White,2,39,3.1,-0.63,1
Hispanic,1,35,3.1,-0.53,1
Hispanic,1,29,3,-0.24,1
White,2,34,3.1,0.2,1
White,2,34,3.4,-0.03,1
White,2,33,3.2,-0.8,1
White,2,34,3.8,0.16,1
White,2,34.5,3.6,-0.91,1
White,1,40,3.6,1.08,1
White,2,36,3,-0.76,1
White,1,35,3.8,0.56,1
White,2,36,3.2,-0.54,1
White,2,29,3.1,-1.02,1
White,1,31.5,3.4,-1.76,1
White,2,38,3.2,-1.46,1
Black,1,26,2.9,-1.31,0
White,2,48,3,2,1
White,1,47,3.1,0.86,1
White,2,34,3.5,0.78,1
Hispanic,2,39,2.9,-1.06,1
White,2,38,3.1,0.53,1
White,2,34,3.4,1.81,1
White,2,38,3,-1.09,1
White,2,41,2.9,-0.8,1
White,1,38,3.5,-1.13,1
White,2,28,3.1,-1.02,1
White,2,30.5,2.9,-1.39,1
White,2,33.5,3.5,-0.54,1
Hispanic,2,32,3.2,0.2,1
White,2,40,3.6,2.04,1
White,2,37,3,-0.61,1
White,1,33,3.7,-0.47,1
White,2,35,3.7,0.6,1
White,2,41,3,-0.61,1
White,1,28,3.6,-1.02,1
Asian,2,36,3,-1.54,1
White,2,37,3.1,1,1
White,2,31,3.4,-0.54,0
White,2,37,3.1,-0.47,1
White,1,41,3.9,2.26,1
White,2,31.5,3.5,-0.14,1
Black,1,33,3.1,-0.54,1
White,1,43,3.4,1.96,1
White,2,38,3.5,-0.06,1
White,2,34.5,3.4,-0.69,1
White,2,31,2.7,0.48,1
White,2,37,2.1,-2.04,0
White,2,36,3.2,-0.21,1
White,1,39,3.9,0.67,1
White,1,35,3.3,-0.61,1
Black,1,37,3.3,-0.03,1
Hispanic,1,35,3.8,0.12,1
White,2,38,2.9,0.56,1
Other,2,39,3,1.7,1
Puertorican,2,36,3.2,-0.95,1
White,2,31,3.4,-0.14,1
White,2,39,3.2,0.71,1
White,2,31,3.5,-1.06,1
White,1,37,3.4,0.23,1
White,1,38,3.7,1.93,1
Hispanic,2,33,3.4,-0.5,1
White,2,35.5,3,0.08,1
White,2,36,3.2,0.22,1
White,1,29,3,0,1
Hispanic,1,31,2.8,-1.61,1
White,2,33,3.3,0.69,1
White,2,38,3.3,-0.1,1
Hispanic,1,37,3.9,1.7,1
White,2,44,3.1,0.71,1
White,1,34,3.5,-0.84,1
White,1,40,3.1,-0.36,1
White,2,37,3.2,-0.1,1
White,1,42,2.4,-0.25,1
White,2,39,3.3,-0.15,1
White,2,36,3,1.59,1
White,1,33,3.8,-0.32,1
White,2,38,3,0.41,1
Hispanic,2,35,3.9,0.38,1
White,2,34,3.3,-0.32,0
White,1,37,3.5,0.45,1
Black,1,34,3.1,-1.02,1
White,1,40,2.7,0.08,1
White,1,37,3.3,1,1
White,2,36,3.6,0.2,1
White,1,35.5,3,-0.14,1
Black,1,29,2.2,-1.02,0
White,1,38,3.4,-0.03,1
